片名,总票房,导演,主演,上映时间,片长,制作国家,类型,评分(豆瓣电影)
高跟鞋先生,"1290000000
"
睡在我上铺的兄弟,"1260000000
"
极限挑战,"1250000000
"
罗曼蒂克消亡史,"1220000000
"
分歧者3：忠诚世界,"1220000000
"
佩小姐的奇幻城堡,"1180000000
"
惊天破,"1130000000
"
九条命,"1110000000
"
航海王之黄金城,"1070000000
"
猎神：冬日之战,"1060000000
"
东北往事之破马张飞,"1040000000
"
哆啦A梦：新·大雄的日本诞生,"1030000000
"
超脑48小时,"1030000000
"
博人-火影忍者剧场版,"1030000000
"
鲨滩,"1010000000
"
三人行,"1000000000
"
三少爷的剑,"96920000
"
云中行走,"90630000
"
新大头儿子小头爸爸2一日成才,"88780000
"
魔宫魅影,"88390000
"
百鸟朝凤,"86780000
"
所以……和黑粉结婚了,"81020000
"
梦想合伙人,"80960000
"
小门神,"78600000
"
惊天大逆转,"78340000
"
逗鸟外传：萌宝满天飞,"77650000
"
深海浩劫,"72360000
"
捉迷藏,"71270000
"
我们诞生在中国,"66019700
"
神秘世界历险记3,"64950000
"
消失爱人,"63750300
"
女汉子真爱公式,"63320000
"
鼠来宝4：萌在囧途,"62560000
"
超级快递,"61520000
"
萨利机长,"61000000
"
侠探杰克：永不回头,"60900000
"
外公芳龄38,"60320000
"
他是龙,"59930000
"
魔发精灵,"54540000
"
过年好,"54000000
"
鲁滨逊漂流记,"53600000
"
快手枪手快枪手,"53462900
"
寄生兽真人版,"48270000
"
奔爱,"47460000
"
我们的十年,"44000000
"
冰河追凶,"43170000
"
真相禁区,"41980000
"
摇滚藏獒,"39550000
"
圣斗士星矢：圣域传说,"37760000
"
垫底辣妹,"37520000
"
我最好朋友的婚礼,"37300000
"
那件疯狂的小事叫爱情,"36550000
"
天亮之前,"36100000
"
我的战争,"36084000
"
冲天火,"36070000
"
幻体：续命游戏,"35610000
"
末日迷踪,"35300000
"
通灵神探,"35270000
"
蒸发太平洋,"35020000
"
年兽大作战,"34400000
"
冰雪皇后2,"33810000
"
冰雪女皇之冬日魔咒,"33810000
"
那年夏天你去了哪里,"33600000
"
夜孔雀,"33100000
"
大唐玄奘,"32840000
"
名侦探柯南：纯黑的恶梦,"30960000
"
火海凌云,"30300000
"
刑警兄弟,"30200000
"
间谍同盟,"29980000
"
谍影特工,"29500000
"
恶人报喜,"27250000
"
樱桃小丸子：来自意大利的少年,"25870000
"
精灵王座,"24950000
"
地心营救,"23440000
"
疯狂丑小鸭,"22994600
"
勇士之门,"22730000
"
整形师.脸,"22593700
"
