片名,总票房,导演,主演,上映时间,片长,制作国家,类型,评分(豆瓣电影)
波西米亚狂想曲,,德克斯特·弗莱彻 布莱恩·辛格,拉米·马雷克 本·哈迪 约瑟夫·梅泽罗,2019-03-22,2小时11分钟,美国,传记 音乐 剧情,8.8
劫数难逃,,徐官祥 陈志峰,姚雨鑫 刚小希 卢森堡,2019-03-29,1小时30分钟,中国,悬疑 惊悚,5.0
警告,,丹尼尔·卡帕索罗,劳尔·阿雷瓦罗 奥拉·加里多 雨果·阿布斯,2019-03-29,1小时32分钟,西班牙,惊悚,5.8
318号公路,,聂运兴,岳辛 德姬 孙一明,2019-03-18,1小时38分钟,中国,剧情,5.9
夏目友人帐,,绿川幸,神谷浩史 井上和彦 高良健吾,2019-03-07,1小时44分钟,日本,剧情 动画 奇幻,8.4
人间·喜剧,,孙周,艾伦 王智 鲁诺,2019-03-29,1小时30分钟,中国,喜剧 剧情 家庭,7.2
阳台上,,张猛,周冬雨 王锵,2019-03-15,1小时40分钟,中国,文艺 剧情,6.5
逆罪,,娄晶晶,李岷城 彭高唱 马晓峰,2019-03-01,1小时40分钟,中国,悬疑,5.0
比悲伤更悲伤的故事,,林孝谦,陈意涵 刘以豪 张书豪,2019-03-14,1小时45分钟,中国台湾,爱情,5.9
把哥哥退货可以吗？,,维达也·汤于容,桑尼·苏瓦美塔农 尤拉萨雅·斯帕邦德 尼坤,2019-03-15,2小时3分钟,泰国,喜剧 爱情,5.8
精灵怪物：疯狂之旅,,霍尔格·塔佩,艾米丽·沃森 詹森·艾萨克 尼克·弗罗斯特,2019-03-29,1小时33分钟,英国 德国,喜剧 动画 家庭,5.0
绿皮书,,彼得·法拉利,琳达·卡德里尼 维果·莫腾森 马赫沙拉·阿里,2019-03-01,2小时10分钟,美国,剧情,8.6
小石头下乡记,,张雷,郑亚龙 宋铁梁 李月,2019-03-12,1小时40分钟,中国,剧情,4.5
梦想之城,,刘抒鹃 吴立晓,保剑锋 金巧巧 温兆伦,2019-03-08,1小时39分钟,中国,剧情,5.4
似水流年,,郑君奇 李龙俊,胡琨 初俊辰 李云赫,2019-03-29,1小时53分钟,中国,剧情,5.0
今世未了缘,,聂如良,刘思莹 李立 刘勇,2019-03-14,1小时30分钟,中国,爱情 剧情,5.0
海市蜃楼,,奥里奥尔·保罗,哈维尔·古铁雷斯 奇诺·达林 阿德丽安娜·尤加特,2019-03-28,2小时8分钟,西班牙,爱情 科幻 惊悚,7.8
醒来之爱的呼唤,,王陆涛,李梦男 张琛 傅冲,2019-03-08,1小时46分钟,中国,剧情,5.4
夜伴歌声,,陆诗雷,梅俪儿 李泽宇 曹鹤夕,2019-03-22,1小时26分钟,中国,惊悚 恐怖,5.0
老公去哪了,,李思易,黄俊鹏 黄小蕾 沈梦辰,2019-03-15,1小时40分钟,中国,喜剧 爱情 家庭,4.8
未来的你,,曾张粤紫,许之糯 周思竹 王尉,2019-03-14,1小时30分钟,中国,爱情 奇幻,5.0
爱无痕,,张大圣 康亮,何云龙 刘奕 薛淑杰,2019-03-19,1小时31分钟,中国,剧情 动作 爱情,7.6
浴血边关,,严高山,姜川 阿里木江·阿迪力,2019-03-06,1小时27分钟,中国,剧情,6.7
神奇乐园历险记,,David Feiss,米拉·库妮丝 詹妮弗·加纳 马修·布罗德里克,2019-04-19,1小时26分钟,美国,动画 喜剧 冒险,6.3
菲凡记忆,,田重,张奕 保剑锋 李嘉铭,2019-04-12,1小时37分钟,中国,喜剧 爱情 奇幻,5.0
雷霆沙赞！,,大卫·F·桑德伯格,扎克瑞·莱维 马克·斯特朗 杰曼·翰苏,2019-04-05,2小时12分钟,美国,动作 奇幻 科幻,8.0
虫林大作战,,Arnaud Bouron Antoon Krings,贾斯汀·朗 凯文·亚当斯 Anne Tilloy,2019-04-13,1小时24分钟,法国,动画,6.7
A测试,,马俪文,于小彤 薛之谦 海陆,2019-04-04,1小时45分钟,中国 中国香港,爱情 剧情,5.0
风中有朵雨做的云,,娄烨,井柏然 宋佳 马思纯,2019-04-04,2小时4分钟,中国,悬疑 犯罪 剧情,8.5
天上再见,,阿尔伯特·杜庞特,纳威尔·佩雷兹·毕斯卡亚特 阿尔伯特·杜庞特 罗兰·拉斐特,2019-04-30,1小时55分钟,法国,剧情,7.9
我的宠物是大象,,邵晓黎,刘青云 尤靖茹 孔维,2019-04-12,1小时49分钟,中国,喜剧,5.6
转型团伙,,吴镇宇,吴镇宇 乔杉 文松,2019-04-19,1小时30分钟,中国 中国香港,喜剧 剧情 家庭,7.0
捉妖学院,,田梓呈,王泽宗 慈婉彤 周海媚,2019-04-30,1小时36分钟,中国,奇幻 冒险,5.9
